PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ganie, ZA; Kaur, S; Jha, P; Kumar, V; Jhala, AJ				Ganie, Zahoor A.; Kaur, Simranpreet; Jha, Prashant; Kumar, Vipan; Jhala, Amit J.			Effect of Late-Season Herbicide Applications on Inflorescence and Seed Production of Glyphosate-Resistant Giant Ragweed (Ambrosia trifida)	WEED TECHNOLOGY																Kumar, Vipan/N-1879-2019; Jhala, Amit/R-6866-2019	Kumar, Vipan/0000-0002-8301-5878; Jhala, Amit/0000-0001-8599-4996; Ganie, Zahoor/0000-0003-1819-0773												0890-037X	1550-2740				MAR-APR	2018	32	2					159	165		10.1017/wet.2017.101							WOS:000430703200008						
J	Sharpe, SM; Boyd, NS; Dittmar, PJ; MacDonald, GE; Darnell, RL; Ferrell, JA				Sharpe, Shaun M.; Boyd, Nathan S.; Dittmar, Peter J.; MacDonald, Greg E.; Darnell, Rebecca L.; Ferrell, Jason A.			Control Recommendations for Black Medic (Medicago lupulina) Based on Growth and Development in Competition with Strawberry	WEED SCIENCE																Sharpe, Shaun M./L-6017-2019	Sharpe, Shaun M./0000-0002-7683-703X												0043-1745	1550-2759				MAR-APR	2018	66	2					226	233		10.1017/wsc.2017.62							WOS:000426959000008						
J	Renzi, JP; Chantre, GR; Cantamutto, MA				Renzi, J. P.; Chantre, G. R.; Cantamutto, M. A.			Vicia villosa ssp villosa Roth field emergence model in a semiarid agroecosystem	GRASS AND FORAGE SCIENCE																	Chantre, Guillermo/0000-0002-4424-0204												0142-5242	1365-2494				MAR	2018	73	1					146	158		10.1111/gfs.12295							WOS:000424875400013						
J	Metcalfe, H; Milne, AE; Hull, R; Murdoch, AJ; Storkey, J				Metcalfe, Helen; Milne, Alice E.; Hull, Richard; Murdoch, Alistair J.; Storkey, Jonathan			The implications of spatially variable pre-emergence herbicide efficacy for weed management	PEST MANAGEMENT SCIENCE																Metcalfe, Helen/O-5461-2015	Metcalfe, Helen/0000-0002-2862-0266; Storkey, Jonathan/0000-0003-1094-8914; Milne, Alice/0000-0002-4509-0578												1526-498X	1526-4998				MAR	2018	74	3					755	765		10.1002/ps.4784							WOS:000423777600028	29095563					
S	Keeley, JE		Underwood, EC; Safford, HD; Molinari, NA; Keeley, JE		Keeley, Jon E.			Drivers of Chaparral Plant Diversity	VALUING CHAPARRAL: ECOLOGICAL, SOCIO-ECONOMIC, AND MANAGEMENT PERSPECTIVES	Springer Series on Environmental Management																												0172-6161		978-3-319-68303-4; 978-3-319-68302-7				2018							29	51		10.1007/978-3-319-68303-4_2	10.1007/978-3-319-68303-4						WOS:000461944900004						
S	Sidik, S; Purba, E; Yakub, EN			IOP	Sidik, S.; Purba, E.; Yakub, E. N.			Population dynamics of weeds in oil palm (Elaeis guineensis Jacq.) circle weeding area affected by herbicide application	INTERNATIONAL CONFERENCE ON AGRICULTURE, ENVIRONMENT, AND FOOD SECURITY	IOP Conference Series-Earth and Environmental Science				International Conference on Agriculture, Environment, and Food Security (AEFS)	NOV 07-08, 2017	Medan, INDONESIA	Univ Sumatera Utara, Fac Agr																					1755-1307						2018	122								UNSP 012069	10.1088/1755-1315/122/1/012069							WOS:000445900200069						
J	Cheek, M; Wanma, J; Jitmau, M; Jebb, M				Cheek, M.; Wanma, J.; Jitmau, M.; Jebb, M.			Seringia (Byttneriaceae / Malvaceae-Byttnerioideae) new to Southeast Asia and S. botak endangered in Indonesian New Guinea grassland and savannah	BLUMEA																													0006-5196	0373-4293					2018	63	2					150	156		10.3767/blumea.2018.63.02.12							WOS:000452534200011						
J	Florentine, S; Weller, S; King, A; Florentine, A; Dowling, K; Westbrooke, M; Chauhan, BS				Florentine, Singarayer; Weller, Sandra; King, Alannah; Florentine, Arunthathy; Dowling, Kim; Westbrooke, Martin; Chauhan, Bhagirath S.			Seed germination response of a noxious agricultural weed Echium plantagineum to temperature, light, pH, drought stress, salinity, heat and smoke	CROP & PASTURE SCIENCE																Florentine, Singarayer/Q-7198-2019; Chauhan, Bhagirath/G-8892-2014	Florentine, Singarayer/0000-0002-5734-3421; Dowling, Kim/0000-0002-7542-5359; Chauhan, Bhagirath/0000-0003-1540-4668; Weller, Sandra/0000-0003-4204-8582												1836-0947	1836-5795					2018	69	3					326	333		10.1071/CP17308							WOS:000426677900009						
J	Humphries, T; Graz, FF; Florentine, SK				Humphries, Talia; Graz, Friedrich F.; Florentine, Singarayer K.			Factors effecting the germination and emergence of a rangeland weed; European heliotrope (Heliotropium europaeum L.)	RANGELAND JOURNAL																Florentine, Singarayer/Q-7198-2019	Florentine, Singarayer/0000-0002-5734-3421												1036-9872	1834-7541					2018	40	6					583	590		10.1071/RJ18048							WOS:000451053800005						
J	Kumar, V; Jha, P; Dille, JA; Stahlman, PW				Kumar, Vipan; Jha, Prashant; Dille, J. Anita; Stahlman, Phillip W.			Emergence Dynamics of Kochia (Kochia scoparia) Populations from the US Great Plains: A Multi-Site-Year Study	WEED SCIENCE																Kumar, Vipan/N-1879-2019	Kumar, Vipan/0000-0002-8301-5878												0043-1745	1550-2759				JAN-FEB	2018	66	1					25	35		10.1017/wsc.2017.55							WOS:000422897200004						
J	Wallace, JM; Keene, CL; Curran, W; Mirsky, S; Ryan, MR; VanGessel, MJ				Wallace, John M.; Keene, Clair L.; Curran, William; Mirsky, Steven; Ryan, Matthew R.; VanGessel, Mark J.			Integrated Weed Management Strategies in Cover Crop-based, Organic Rotational No-Till Corn and Soybean in the Mid-Atlantic Region	WEED SCIENCE																													0043-1745	1550-2759				JAN-FEB	2018	66	1					94	108		10.1017/wsc.2017.53							WOS:000422897200011						
J	Nath, CP; Das, TK; Rana, KS; Bhattacharyya, R; Paul, S; Singh, SB; Meena, MC; Hazra, KK				Nath, Chaitanya Prasad; Das, Tapas Kumar; Rana, Kuldeep Singh; Bhattacharyya, Ranjan; Paul, Sangeeta; Singh, Shashi Bala; Meena, Mahesh Chand; Hazra, Kali Krishna			Tillage and nitrogen management effects with sequential and ready-mix herbicides on weed diversity and wheat productivity	INTERNATIONAL JOURNAL OF PEST MANAGEMENT																	Bhattacharyya, Ranjan/0000-0001-6200-2181; Meena, Mahesh C/0000-0001-5386-883X												0967-0874	1366-5863					2018	64	4					303	314		10.1080/09670874.2017.1415487							WOS:000444384900003						
J	Santin-Montanya, MI; Zambrana-Quesada, E; Tenorio-Pasamon, JL				Ines Santin-Montanya, Maria; Zambrana-Quesada, Encarnacion; Luis Tenorio-Pasamon, Jose			Weed abundance and soil seedbank responses to tillage systems in continuous maize crops	ARCHIVES OF AGRONOMY AND SOIL SCIENCE																	M. I., Santin-Montanya/0000-0003-1978-6560												0365-0340	1476-3567					2018	64	12					1705	1713		10.1080/03650340.2018.1453133							WOS:000442753600007						
J	Callister, KE; Florentine, SK; Westbrooke, ME				Callister, Kate E.; Florentine, Singarayer K.; Westbrooke, Martin E.			An investigation of the soil seedbank and seed germination of perennial species in Belah (Casuarina pauper) woodlands in north-west Victoria	AUSTRALIAN JOURNAL OF BOTANY																Florentine, Singarayer/Q-7198-2019	Florentine, Singarayer/0000-0002-5734-3421												0067-1924	1444-9862					2018	66	3					202	212		10.1071/BT17160							WOS:000436404800002						
J	Wright, BR; Clarke, PJ				Wright, Boyd R.; Clarke, Peter J.			Germination biologies and seedbank dynamics of Acacia shrubs in the Western Desert: implications for fire season impacts on recruitment	AUSTRALIAN JOURNAL OF BOTANY																													0067-1924	1444-9862					2018	66	3					278	285		10.1071/BT18003							WOS:000436404800009						
J	Khan, MJ; Brodie, G; Gupta, D; Foletta, S				Khan, M. J.; Brodie, G.; Gupta, D.; Foletta, S.			MICROWAVE SOIL TREATMENT IMPROVES WEED MANAGEMENT IN AUSTRALIAN DRYLAND WHEAT	TRANSACTIONS OF THE ASABE																Gupta, Dorin/O-3495-2019; Brodie, Graham/P-8734-2019													2151-0032	2151-0040					2018	61	2					671	680		10.13031/trans.12504							WOS:000430915700030						
J	Young, SL				Young, Stephen L.			Beyond Precision Weed Control: A Model for True Integration	WEED TECHNOLOGY																													0890-037X	1550-2740				JAN-FEB	2018	32	1					7	10		10.1017/wet.2017.70							WOS:000425455700003						
J	Wright, BR; Fensham, RJ				Wright, Boyd R.; Fensham, Roderick J.			Fire timing in relation to masting: an important determinant of post-fire recruitment success for the obligate-seeding arid zone soft spinifex (Triodia pungens)	ANNALS OF BOTANY																	Fensham, Roderick/0000-0003-3658-5867												0305-7364	1095-8290				JAN	2018	121	1					119	128		10.1093/aob/mcx136							WOS:000423708500015	29293879					
J	Warzecha, D; Diekotter, T; Wolters, V; Jauker, F				Warzecha, Daniela; Diekoetter, Tim; Wolters, Volkmar; Jauker, Frank			Attractiveness of wildflower mixtures for wild bees and hoverflies depends on some key plant species	INSECT CONSERVATION AND DIVERSITY																Wolters, Volkmar/B-4635-2010; Warzecha, Daniela/I-4334-2019	Jauker, Frank/0000-0003-4137-9072												1752-458X	1752-4598				JAN	2018	11	1					32	41		10.1111/icad.12264							WOS:000419246800003						
J	Westerman, PR; Hemerik, L; van der Werf, W; Stomph, TJ				Westerman, P. R.; Hemerik, L.; van der Werf, W.; Stomph, T. J.			Density-independent reproductive success of the hemiparasitic plant Striga hermonthica, despite positive and negative density-dependent phases	ANNALS OF APPLIED BIOLOGY																van der Werf, Wopke/A-2557-2009	van der Werf, Wopke/0000-0002-5506-4699; Hemerik, Lia/0000-0002-6892-2840												0003-4746	1744-7348				JAN	2018	172	1					74	87		10.1111/aab.12403							WOS:000418444400007						
J	Shumack, S; Hesse, P; Turner, L				Shumack, Samuel; Hesse, Paul; Turner, Liam			The impact of fire on sand dune stability: Surface coverage and biomass recovery after fires on Western Australian coastal dune systems from 1988 to 2016	GEOMORPHOLOGY																	Hesse, Paul/0000-0001-8709-2523; Shumack, Samuel/0000-0002-7580-5095												0169-555X	1872-695X				DEC 15	2017	299						39	53		10.1016/j.geomorph.2017.10.001							WOS:000418221700004						
J	Geerts, S; Rossenrode, T; Irlich, UM; Visser, V				Geerts, Sjirk; Rossenrode, Taryn; Irlich, Ulrike M.; Visser, Vernon			Emerging Ornamental Plant Invaders in Urban Areas-Centranthus ruber in Cape Town, South Africa as a Case Study	INVASIVE PLANT SCIENCE AND MANAGEMENT																; Visser, Vernon/M-2118-2016	Geerts, Sjirk/0000-0003-0149-2783; Visser, Vernon/0000-0003-2444-5015												1939-7291	1939-747X				DEC	2017	10	4					322	331		10.1017/inp.2017.35							WOS:000419708500004						
J	O'Brien, PL; DeSutter, TM; Ritter, SS; Casey, FXM; Wick, AF; Khan, E; Matthees, HL				O'Brien, Peter L.; DeSutter, Thomas M.; Ritter, Samantha S.; Casey, Francis X. M.; Wick, Abbey F.; Khan, E.; Matthees, Heather L.			A large-scale soil-mixing process for reclamation of heavily disturbed soils	ECOLOGICAL ENGINEERING																Casey, Francis X M/A-2135-2010	Casey, Francis X M/0000-0002-6035-7234; O'Brien, Peter/0000-0002-6530-5417												0925-8574	1872-6992				DEC	2017	109		A				84	91		10.1016/j.ecoleng.2017.09.015							WOS:000413737800011						
J	Lindsay, K; Popp, M; Norsworthy, J; Bagavathiannan, M; Powles, S; Lacoste, M				Lindsay, Karen; Popp, Michael; Norsworthy, Jason; Bagavathiannan, Muthukumar; Powles, Stephen; Lacoste, Myrtille			PAM: Decision Support for Long-Term Palmer Amaranth (Amaranthus palmeri) Control	WEED TECHNOLOGY																	Norsworthy, Jason/0000-0002-7379-6201												0890-037X	1550-2740				NOV-DEC	2017	31	6					915	927		10.1017/wet.2017.69							WOS:000417611600018						
J	Cordeau, S; Smith, RG; Gallandt, ER; Brown, B; Salon, P; DiTommaso, A; Ryan, MR				Cordeau, S.; Smith, R. G.; Gallandt, E. R.; Brown, B.; Salon, P.; DiTommaso, A.; Ryan, M. R.			How do weeds differ in their response to the timing of tillage? A study of 61 species across the northeastern United States	ANNALS OF APPLIED BIOLOGY																CORDEAU, Stephane/K-6926-2012	CORDEAU, Stephane/0000-0003-1069-8388; Smith, Richard G./0000-0002-3571-5888												0003-4746	1744-7348				NOV	2017	171	3					340	352		10.1111/aab.12377							WOS:000413375100006						
J	Wright, BR; Fensham, RJ				Wright, Boyd R.; Fensham, Roderick J.			Fire after a mast year triggers mass recruitment of slender mulga (Acacia aptaneura), a desert shrub with heat-stimulated germination	AMERICAN JOURNAL OF BOTANY																	Wright, Boyd/0000-0002-6322-4904; Fensham, Roderick/0000-0003-3658-5867												0002-9122	1537-2197				OCT	2017	104	10					1474	1483		10.3732/ajb.1700008							WOS:000413976200011	29885224					
J	Buckley, P; Helliwell, DR; Milne, S; Howell, R				Buckley, Peter; Helliwell, D. R.; Milne, Sarah; Howell, Ruth			Twenty-five years on - vegetation succession on a translocated ancient woodland soil at Biggins Wood, Kent, UK	FORESTRY																													0015-752X	1464-3626				OCT	2017	90	4					561	572		10.1093/forestry/cpx015							WOS:000408127300009						
J	Tidemann, BD; Hall, LM; Harker, KN; Beckie, HJ				Tidemann, Breanne D.; Hall, Linda M.; Harker, K. Neil; Beckie, Hugh J.			Potential Benefit and Risk of Fluridone as a Fall Germination Stimulant in Western Canada	WEED TECHNOLOGY																	Beckie, Hugh/0000-0002-2659-2265												0890-037X	1550-2740				SEP-OCT	2017	31	5					773	780		10.1017/wet.2017.67							WOS:000417610700018						
J	Goodall, JM; Denny, RP; Campbell, PL				Goodall, J. M.; Denny, R. P.; Campbell, P. L.			Observations from seedbank studies on Solanum mauritianum Scop. (bugweed) in a pine plantation, South Africa	SOUTH AFRICAN JOURNAL OF BOTANY																													0254-6299	1727-9321				SEP	2017	112						11	14		10.1016/j.sajb.2017.05.012							WOS:000410624200002						
J	Schwartz-Lazaro, LM; Norsworthy, JK; Walsh, MJ; Bagavathiannan, MV				Schwartz-Lazaro, Lauren M.; Norsworthy, Jason K.; Walsh, Michael J.; Bagavathiannan, Muthukumar V.			Efficacy of the Integrated Harrington Seed Destructor on Weeds of Soybean and Rice Production Systems in the Southern United States	CROP SCIENCE																Lazaro, Lauren/K-7579-2019	Lazaro, Lauren/0000-0001-8305-4319; Norsworthy, Jason/0000-0002-7379-6201												0011-183X	1435-0653				SEP-OCT	2017	57	5					2812	2818		10.2135/cropsci2017.03.0210							WOS:000410728900049						
J	Renzi, JP; Chantre, GR; Cantamutto, MA				Renzi, J. P.; Chantre, G. R.; Cantamutto, M. A.			Self-regeneration of hairy vetch (Vicia villosa Roth) as affected by seedling density and soil tillage method in a semi-arid agroecosystem	GRASS AND FORAGE SCIENCE																	Chantre, Guillermo/0000-0002-4424-0204												0142-5242	1365-2494				SEP	2017	72	3					524	533		10.1111/gfs.12255							WOS:000409920200013						
J	Dille, JA; Stahlman, PW; Du, J; Geier, PW; Riffel, JD; Currie, RS; Wilson, RG; Sbatella, GM; Westra, P; Kniss, AR; Moechnig, MJ; Cole, RM				Dille, J. Anita; Stahlman, Phillip W.; Du, Juan; Geier, Patrick W.; Riffel, Jarrett D.; Currie, Randall S.; Wilson, Robert G.; Sbatella, Gustavo M.; Westra, Philip; Kniss, Andrew R.; Moechnig, Michael J.; Cole, Richard M.			Kochia (Kochia scoparia) Emergence Profiles and Seed Persistence across the Central Great Plains	WEED SCIENCE																													0043-1745	1550-2759				SEP-OCT	2017	65	5					614	625		10.1017/wsc.2017.18							WOS:000410139600007						
J	Jernigan, AB; Caldwell, BA; Cordeau, S; DiTommaso, A; Drinkwater, LE; Mohler, CL; Ryan, MR				Jernigan, Ashley B.; Caldwell, Brian A.; Cordeau, Stephane; DiTommaso, Antonio; Drinkwater, Laurie E.; Mohler, Charles L.; Ryan, Matthew R.			Weed Abundance and Community Composition following a Long-Term Organic Vegetable Cropping Systems Experiment	WEED SCIENCE																CORDEAU, Stephane/K-6926-2012	CORDEAU, Stephane/0000-0003-1069-8388; DiTommaso, Antonio/0000-0001-8215-2777												0043-1745	1550-2759				SEP-OCT	2017	65	5					639	649		10.1017/wsc.2017.33							WOS:000410139600009						
J	Jones, L; Stevens, C; Rowe, EC; Payne, R; Caporn, SJM; Evans, CD; Field, C; Dale, S				Jones, L.; Stevens, C.; Rowe, E. C.; Payne, R.; Caporn, S. J. M.; Evans, C. D.; Field, C.; Dale, S.			Can on-site management mitigate nitrogen deposition impacts in non-wooded habitats?	BIOLOGICAL CONSERVATION																Jones, Laurence/A-3900-2011; Rowe, Edwin C/A-7641-2011; Evans, Christopher D/F-2087-2010	Jones, Laurence/0000-0002-4379-9006; Rowe, Edwin C/0000-0003-4784-7236; Evans, Christopher D/0000-0002-7052-354X; Stevens, Carly/0000-0002-2390-1763												0006-3207	1873-2917				AUG	2017	212		B		SI		464	475		10.1016/j.biocon.2016.06.012							WOS:000408782700010						
J	De Wilde, M; Buisson, E; Yavercovski, N; Willm, L; Bieder, L; Mesleard, F				De Wilde, Melissa; Buisson, Elise; Yavercovski, Nicole; Willm, Loic; Bieder, Livia; Mesleard, Francois			Using Microwave Soil Heating to Inhibit Invasive Species Seed Germination	INVASIVE PLANT SCIENCE AND MANAGEMENT																/AAF-4485-2019	/0000-0002-3640-8134												1939-7291	1939-747X				JUL-SEP	2017	10	3					262	270		10.1017/inp.2017.29							WOS:000418744200005						
J	Schwartz-Lazaro, LM; Green, JK; Norsworthy, JK				Schwartz-Lazaro, Lauren M.; Green, Jeremy K.; Norsworthy, Jason K.			Seed Retention of Palmer amaranth (Amaranthus palmeri) and Barnyardgrass (Echinochloa crus-galli) in Soybean	WEED TECHNOLOGY																Lazaro, Lauren/K-7579-2019	Lazaro, Lauren/0000-0001-8305-4319; Norsworthy, Jason/0000-0002-7379-6201												0890-037X	1550-2740				JUL-AUG	2017	31	4					617	622		10.1017/wet.2017.25							WOS:000410054400014						
J	Baraibar, B; Canadell, C; Torra, J; Royo-Esnal, A; Recasens, J				Baraibar, Barbara; Canadell, Claudia; Torra, Joel; Royo-Esnal, Aritz; Recasens, Jordi			Weed Seed Fate during Summer Fallow: The Importance of Seed Predation and Seed Burial	WEED SCIENCE																Royo-Esnal, Aritz/B-4174-2011; Recasens, Jordi/AAB-2928-2020; Recasens, Jordi/B-3970-2011; Torra, Joel/B-3959-2011	Royo-Esnal, Aritz/0000-0003-2534-8372; Recasens, Jordi/0000-0002-8799-9958; Torra, Joel/0000-0002-8666-6780												0043-1745	1550-2759				JUL-AUG	2017	65	4					515	524		10.1614/WS-D-16-00031.1							WOS:000407426900009						
J	Xu, X; Yu, ZM; He, LY; Cheng, FJ; Cao, XH; Song, XX				Xu Xin; Yu ZhiMing; He Liyan; Cheng FangJin; Cao Xihua; Song XiuXian			Nano- and microphytoplankton community characteristics in brown tide bloom-prone waters of the Qinhuangdao coast, Bohai Sea, China	SCIENCE CHINA-EARTH SCIENCES																													1674-7313	1869-1897				JUN	2017	60	6			SI		1189	1200		10.1007/s11430-017-9036-0							WOS:000402756100014						
J	Singh, V; Singh, S; Black, H; Boyett, V; Basu, S; Gealy, D; Gbur, E; Pereira, A; Scott, RC; Caicedo, A; Burgos, NR				Singh, Vijay; Singh, Shilpa; Black, Howard; Boyett, Virginia; Basu, Supratim; Gealy, David; Gbur, Edward; Pereira, Andy; Scott, Robert C.; Caicedo, Ana; Burgos, Nilda R.			Introgression of Clearfield (TM) rice crop traits into weedy red rice outcrosses	FIELD CROPS RESEARCH																	Singh, Vijay/0000-0001-9746-7923; Pereira, Andy/0000-0003-1378-4273												0378-4290	1872-6852				JUN	2017	207						13	23		10.1016/j.fcr.2017.03.004							WOS:000401877400002						
J	Steven, B; Hesse, C; Soghigian, J; Gallegos-Graves, L; Dunbar, J				Steven, Blaire; Hesse, Cedar; Soghigian, John; Gallegos-Graves, La Verne; Dunbar, John			Simulated rRNA/DNA Ratios Show Potential To Misclassify Active Populations as Dormant	APPLIED AND ENVIRONMENTAL MICROBIOLOGY																Steven, Blaire/E-5295-2012	Steven, Blaire/0000-0001-5940-2432												0099-2240	1098-5336				JUN	2017	83	11							UNSP e00696-17	10.1128/AEM.00696-17							WOS:000401471600021	28363969					
J	Geddes, CM; Gulden, RH				Geddes, C. M.; Gulden, R. H.			Early autumn soil disturbance decreases persistence of volunteer summer-annual oilseed rape (Brassica napus)	WEED RESEARCH																													0043-1737	1365-3180				JUN	2017	57	3					182	192		10.1111/wre.12248							WOS:000400976800005						
J	Ngo, TD; Boutsalis, P; Preston, C; Gill, G				Ngo, The D.; Boutsalis, Peter; Preston, Christopher; Gill, Gurjeet			Plant Development and Seed Biology of Windmillgrass (Chloris truncata) in Southern Australia	WEED SCIENCE																	Preston, Christopher/0000-0002-7588-124X												0043-1745	1550-2759				MAY-JUN	2017	65	3					395	405		10.1017/wsc.2017.5							WOS:000405094400008						
J	Pannwitt, H; Westerman, PR; de Mol, F; Selig, C; Gerowitt, B				Pannwitt, Heike; Westerman, Paula R.; de Mol, Friederike; Selig, Christian; Gerowitt, Baerbel			Biological control of weed patches by seed predators; responses to seed density and exposure time	BIOLOGICAL CONTROL																													1049-9644	1090-2112				MAY	2017	108						1	8		10.1016/j.biocontrol.2017.01.016							WOS:000400202900001						
J	Ngo, TD; Boutsalis, P; Preston, C; Gill, G				Ngo, The D.; Boutsalis, Peter; Preston, Christopher; Gill, Gurjeet			Growth, Development, and Seed Biology of Feather Fingergrass (Chloris virgata) in Southern Australia	WEED SCIENCE																	Preston, Christopher/0000-0002-7588-124X												0043-1745	1550-2759				MAY-JUN	2017	65	3					413	425		10.1017/wsc.2016.33							WOS:000405094400010						
J	Krayesky-Self, S; Schmidt, WE; Phung, D; Henry, C; Sauvage, T; Camacho, O; Felgenhauer, BE; Fredericq, S				Krayesky-Self, Sherry; Schmidt, William E.; Phung, Delena; Henry, Caroline; Sauvage, Thomas; Camacho, Olga; Felgenhauer, Bruce E.; Fredericq, Suzanne			Eukaryotic Life Inhabits Rhodolith-forming Coralline Algae (Hapalidiales, Rhodophyta), Remarkable Marine Benthic Microhabitats	SCIENTIFIC REPORTS																	Sauvage, Thomas/0000-0002-9169-6925												2045-2322					APR 3	2017	7								45850	10.1038/srep45850							WOS:000398323700001	28368049					
J	DiTommaso, A; Milbrath, LR; Morris, SH; Mohler, CL; Biazzo, J				DiTommaso, Antonio; Milbrath, Lindsey R.; Morris, Scott H.; Mohler, Charles L.; Biazzo, Jeromy			Seedbank Dynamics of Two Swallowwort (Vincetoxicum) Species	INVASIVE PLANT SCIENCE AND MANAGEMENT																	DiTommaso, Antonio/0000-0001-8215-2777												1939-7291	1939-747X				APR-JUN	2017	10	2					136	142		10.1017/inp.2017.10							WOS:000407423900003						
J	Thilmony, BM; Lym, RG				Thilmony, Blake M.; Lym, Rodney G.			Leafy spurge (Euphorbia esula) Control and Soil Seedbank Composition Fifteen Years after Release of Aphthona Biological Control Agents	INVASIVE PLANT SCIENCE AND MANAGEMENT																													1939-7291	1939-747X				APR-JUN	2017	10	2					180	190		10.1017/inp.2017.18							WOS:000407423900007						
J	Kurt, N; Rafler, M				Kurt, Noemi; Rafler, Mathias			Recursions for the exchangeable partition function of the seedbank coalescent	THEORETICAL POPULATION BIOLOGY																													0040-5809	1096-0325				APR	2017	114						95	106		10.1016/j.tpb.2016.12.002							WOS:000395852200009	27998798					
J	Walsh, MJ; Aves, C; Powles, SB				Walsh, Michael J.; Aves, Charlotte; Powles, Stephen B.			Harvest Weed Seed Control Systems are Similarly Effective on Rigid Ryegrass	WEED TECHNOLOGY																Walsh, Michael J/B-3283-2011	Walsh, Michael J/0000-0002-2748-9753; powles, stephen/0000-0001-6375-1977												0890-037X	1550-2740				MAR-APR	2017	31	2					178	183		10.1017/wet.2017.6							WOS:000400678700002						
J	Zinati, GM; Seidel, R; Grantham, A; Moyer, J; Ackroyd, VJ; Mirsky, SB				Zinati, Gladis M.; Seidel, Rita; Grantham, Alison; Moyer, Jeff; Ackroyd, Victoria J.; Mirsky, Steven B.			High-Residue Cultivation Timing Impact on Organic No-Till Soybean Weed Management	WEED TECHNOLOGY																													0890-037X	1550-2740				MAR-APR	2017	31	2					320	329		10.1017/wet.2016.24							WOS:000400678700017						
J	White, SN; Zhang, LS; Pruski, K				White, Scott N.; Zhang, Linshan; Pruski, Kris			Investigation of Potential Seed Dormancy Mechanisms in American Burnweed (Erechtites hieraciifolius) Seeds from Wild Blueberry (Vaccinium angustifolium) fields	WEED SCIENCE																													0043-1745	1550-2759				MAR-APR	2017	65	2					256	265		10.1017/wsc.2016.21							WOS:000398844400007						
J	Mangin, AR; Hall, LM; Schoenau, JJ; Beckie, HJ				Mangin, Amy R.; Hall, Linda M.; Schoenau, Jeff J.; Beckie, Hugh J.			Influence of Tillage on Control of Wild Oat (Avena fatua) by the Soil-applied Herbicide Pyroxasulfone	WEED SCIENCE																Li, Fengmin/K-8740-2012	Li, Fengmin/0000-0002-2144-3498; Beckie, Hugh/0000-0002-2659-2265												0043-1745	1550-2759				MAR-APR	2017	65	2					266	274		10.1017/wsc.2016.22							WOS:000398844400008						
J	Chen, GQ; Liu, QH; Zhang, YH; Li, J; Dong, LY				Chen, Guoqi; Liu, Qinghu; Zhang, Yuhua; Li, Jun; Dong, Liyao			Comparison of Weed Seedbanks in Different Rice Planting Systems	AGRONOMY JOURNAL																													0002-1962	1435-0645				MAR-APR	2017	109	2					620	628		10.2134/agronj2016.06.0348							WOS:000397863300021						
J	Wang, M; Schoettner, M; Xu, SQ; Paetz, C; Wilde, J; Baldwin, IT; Groten, K				Wang, Ming; Schoettner, Matthias; Xu, Shuqing; Paetz, Christian; Wilde, Julia; Baldwin, Ian T.; Groten, Karin			Catechol, a major component of smoke, influences primary root growth and root hair elongation through reactive oxygen species-mediated redox signaling	NEW PHYTOLOGIST																Groten, Karin/B-2883-2018; Baldwin, Ian T/K-1809-2013	Groten, Karin/0000-0003-0177-8810; Xu, Shuqing/0000-0001-7010-4604; Baldwin, Ian/0000-0001-5371-2974												0028-646X	1469-8137				MAR	2017	213	4					1755	1770		10.1111/nph.14317							WOS:000397238600023	27878986					
J	Nguyen, TLT; Bajwa, AA; Navie, SC; O'Donnell, C; Adkins, SW				Nguyen, Thi L. T.; Bajwa, Ali A.; Navie, Sheldon C.; O'Donnell, Chris; Adkins, Steve W.			The Soil Seedbank of Pasture Communities in Central Queensland Invaded by Parthenium hysterophorus L.	RANGELAND ECOLOGY & MANAGEMENT																Bajwa, Ali/B-9948-2016	Bajwa, Ali/0000-0002-7171-3118												1550-7424	1551-5028				MAR	2017	70	2					244	254		10.1016/j.rama.2016.07.010							WOS:000395376700012						
J	Strehlow, T; DeKeyser, S; Kobiela, B				Strehlow, Travis; DeKeyser, Shawn; Kobiela, Breanna			Managing Seedbank Composition to Enhance Wetland Restoration	ECOLOGICAL RESTORATION																													1543-4060	1543-4079				MAR	2017	35	1					12	16		10.3368/er.35.1.12							WOS:000456496800004						
J	Leite, MFA; Pan, Y; Bloem, J; ten Berge, H; Kuramae, EE				Leite, Marcio F. A.; Pan, Yao; Bloem, Jaap; ten Berge, Hein; Kuramae, Eiko E.			Organic nitrogen rearranges both structure and activity of the soil-borne microbial seedbank	SCIENTIFIC REPORTS																Kuramae, Eiko Eurya/F-4738-2012; KNAW, NIOO-KNAW/A-4320-2012; Leite, Marcio/E-8749-2015	Kuramae, Eiko Eurya/0000-0001-6701-8668; KNAW, NIOO-KNAW/0000-0002-3835-159X; Leite, Marcio/0000-0002-4943-2213												2045-2322					FEB 15	2017	7								42634	10.1038/srep42634							WOS:000394251800001	28198425					
