PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Chick, MP; Cohn, JS; Nitschke, CR; York, A",,,,"Chick, Matthew P.; Cohn, Janet S.; Nitschke, Craig R.; York, Alan",,,Lack of soil seedbank change with time since fire: relevance to seed supply after prescribed burns,INTERNATIONAL JOURNAL OF WILDLAND FIRE,,,,,World Congress of the International-Union-of-Forest-Research-Organizations (IUFRO),"OCT 05-11, 2014","Salt Lake, UT",Int Union Forest Res Org,,,,,,,,"York, Alan/M-2443-2015","York, Alan/0000-0003-3161-4075; Nitschke, Craig/0000-0003-2514-9744",,,,,,,,,,,,1049-8001,1448-5516,,,,,2016,25,8,,,,,849,860,,10.1071/WF15013,,,,,,,WOS:000382538400005,,,,,
J,"Bell, CE; Allen, EB; Weathers, KA; McGiffen, M",,,,"Bell, Carl E.; Allen, Edith B.; Weathers, Kristin A.; McGiffen, Milton, Jr.",,,Simple Approaches to Improve Restoration of Coastal Sage Scrub Habitat in Southern California,NATURAL AREAS JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885-8608,2162-4399,,,,JAN,2016,36,1,,,,,20,28,,10.3375/043.036.0107,,,,,,,WOS:000377433900003,,,,,
J,"Bean, JM; Melville, GJ; Hacker, RB; Anderson, S; Whittington, A; Clipperton, SP",,,,"Bean, Judith M.; Melville, Gavin J.; Hacker, Ronald B.; Anderson, Sharon; Whittington, Alicia; Clipperton, Stephen P.",,,Effects of fenced seed production areas and restoration treatments on the size and composition of the native grass seedbanks in moderately degraded rangelands in semiarid Australia,RANGELAND JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036-9872,1834-7541,,,,,2016,38,1,,,,,47,56,,10.1071/RJ15065,,,,,,,WOS:000372739800005,,,,,
J,"Inman, MD; Jordan, DL; York, AC; Jennings, KM; Monks, DW; Everman, WJ; Bollman, SL; Fowler, JT; Cole, RM; Soteres, JK",,,,"Inman, Matthew D.; Jordan, David L.; York, Alan C.; Jennings, Katie M.; Monks, David W.; Everman, Wesley J.; Bollman, Scott L.; Fowler, John T.; Cole, Richard M.; Soteres, John K.",,,Long-Term Management of Palmer Amaranth (Amaranthus palmeri) in Dicamba-Tolerant Cotton,WEED SCIENCE,,,,,,,,,,,,,,,,,"Jennings, Katherine/0000-0003-3708-3973",,,,,,,,,,,,0043-1745,1550-2759,,,,JAN-MAR,2016,64,1,,,,,161,169,,10.1614/WS-D-15-00058.1,,,,,,,WOS:000368263100019,,,,,
J,"Phillips, RL; Ficken, C; Eken, M; Hendrickson, J; Beeri, O",,,,"Phillips, Rebecca L.; Ficken, Cari; Eken, Mikki; Hendrickson, John; Beeri, Ofer",,,Wetland Soil Carbon in a Watershed Context for the Prairie Pothole Region,JOURNAL OF ENVIRONMENTAL QUALITY,,,,,,,,,,,,,,,,"Phillips, Rebecca/G-6175-2015; Hendrickson, John/M-1999-2019","Phillips, Rebecca/0000-0003-3881-9065; Hendrickson, John/0000-0001-8600-9214; Ficken, Cari/0000-0003-4132-4354",,,,,,,,,,,,0047-2425,1537-2537,,,,JAN-FEB,2016,45,1,,,,,368,375,,10.2134/jeq2015.06.0310,,,,,,,WOS:000367948600041,26828193,,,,
J,"Kimberley, A; Blackburn, GA; Whyatt, JD; Smart, SM",,,,"Kimberley, Adam; Blackburn, G. Alan; Whyatt, J. Duncan; Smart, Simon M.",,,How well is current plant trait composition predicted by modern and historical forest spatial configuration?,ECOGRAPHY,,,,,,,,,,,,,,,,"Whyatt, J Duncan/D-8123-2014; smart, simon M/I-6089-2012","Whyatt, J Duncan/0000-0001-9329-4367; smart, simon/0000-0003-2750-7832; Kimberley, Adam/0000-0002-0807-9943",,,,,,,,,,,,0906-7590,1600-0587,,,,JAN,2016,39,1,,,,,67,76,,10.1111/ecog.01607,,,,,,,WOS:000368792500008,,,,,
J,"Blubaugh, CK; Kaplan, I",,,,"Blubaugh, Carmen K.; Kaplan, Ian",,,Invertebrate Seed Predators Reduce Weed Emergence Following Seed Rain,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,JAN-MAR,2016,64,1,,,,,80,86,,10.1614/WS-D-15-00111.1,,,,,,,WOS:000368263100010,,,,,
J,"Midega, CAO; Pickett, J; Hooper, A; Pittchar, J; Khan, ZR",,,,"Midega, Charles A. O.; Pickett, John; Hooper, Antony; Pittchar, Jimmy; Khan, Zeyaur R.",,,Maize Landraces are Less Affected by Striga hermonthica Relative to Hybrids in Western Kenya,WEED TECHNOLOGY,,,,,,,,,,,,,,,,,"Hooper, Antony/0000-0002-0780-2167",,,,,,,,,,,,0890-037X,1550-2740,,,,JAN-MAR,2016,30,1,,,,,21,28,,10.1614/WT-D-15-00055.1,,,,,,,WOS:000370498600003,,,,,
J,"Schwartz, LM; Norsworthy, JK; Young, BG; Bradley, KW; Kruger, GR; Davis, VM; Steckel, LE; Walsh, MJ",,,,"Schwartz, Lauren M.; Norsworthy, Jason K.; Young, Bryan G.; Bradley, Kevin W.; Kruger, Greg R.; Davis, Vince M.; Steckel, Larry E.; Walsh, Michael J.",,,Tall Waterhemp (Amaranthus tuberculatus) and Palmer amaranth (Amaranthus palmeri) Seed Production and Retention at Soybean Maturity,WEED TECHNOLOGY,,,,,,,,,,,,,,,,"Lazaro, Lauren/K-7579-2019; Walsh, Michael J/B-3283-2011","Lazaro, Lauren/0000-0001-8305-4319; Walsh, Michael J/0000-0002-2748-9753; Norsworthy, Jason/0000-0002-7379-6201",,,,,,,,,,,,0890-037X,1550-2740,,,,JAN-MAR,2016,30,1,,,,,284,290,,10.1614/WT-D-15-00130.1,,,,,,,WOS:000370498600033,,,,,
J,"Wallinger, C; Sint, D; Baier, F; Schmid, C; Mayer, R; Traugott, M",,,,"Wallinger, C.; Sint, D.; Baier, F.; Schmid, C.; Mayer, R.; Traugott, M.",,,Detection of seed DNA in regurgitates of granivorous carabid beetles,BULLETIN OF ENTOMOLOGICAL RESEARCH,,,,,,,,,,,,,,,,,"Traugott, Michael/0000-0001-9719-5059; Sint, Daniela/0000-0003-3387-4284",,,,,,,,,,,,0007-4853,1475-2670,,,,DEC,2015,105,6,,,,,728,735,,10.1017/S000748531500067X,,,,,,,WOS:000365166000009,26271284,,,,
J,"Hoiberg, AH; Minner, DD",,,,"Hoiberg, Andrew H.; Minner, David D.",,,No Kentucky Bluegrass or Perennial Ryegrass Seedbank Formation When Sown at 1-inch Depth in the Upper Midwest,CROP FORAGE & TURFGRASS MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374-3832,,,,,DEC,2015,1,1,,,,,,,,10.2134/cftm2015.0125,,,,,,,WOS:000453297900033,,,,,
J,"Mirsky, SB; Wallace, JM; Curran, WS; Crockett, BC",,,,"Mirsky, Steven B.; Wallace, John M.; Curran, William S.; Crockett, Benjamin C.",,,Hairy Vetch Seedbank Persistence and Implications for Cover Crop Management,AGRONOMY JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-1962,1435-0645,,,,NOV-DEC,2015,107,6,,,,,2391,2400,,10.2134/agronj14.0523,,,,,,,WOS:000368342900042,,,,,
J,"Martins, BAB; Christoffoleti, PJ",,,,"Barbosa Martins, Bianca Assis; Christoffoleti, Pedro Jacob",,,Buttonweed emergence as affected by seed burial depth and straw on the soil surface,SCIENTIA AGRICOLA,,,,,,,,,,,,,,,,"Martins, Bianca/J-9213-2015; Christoffoleti, Pedro J/J-1479-2012","Christoffoleti, Pedro/0000-0002-2741-5615",,,,,,,,,,,,1678-992X,,,,,NOV-DEC,2015,72,6,,,,,489,494,,10.1590/0103-9016-2014-0400,,,,,,,WOS:000364431900004,,,,,
J,"Balcazar-Vargas, MP; Salguero-Gomez, R; Zuidema, PA",,,,"Balcazar-Vargas, Maria P.; Salguero-Gomez, Roberto; Zuidema, Pieter A.",,,No second chances: demography from the forest floor to the canopy and back again,JOURNAL OF ECOLOGY,,,,,,,,,,,,,,,,"Zuidema, Pieter/C-8951-2009; Salguero-Gomez, Rob/N-6016-2016","Zuidema, Pieter/0000-0001-8100-1168; Salguero-Gomez, Rob/0000-0002-6085-4433",,,,,,,,,,,,0022-0477,1365-2745,,,,NOV,2015,103,6,,,,,1498,1508,,10.1111/1365-2745.12466,,,,,,,WOS:000363339300013,,,,,
J,"Van Bogaert, R; Gauthier, S; Drobyshev, I; Jayen, K; Greene, DF; Bergeron, Y",,,,"Van Bogaert, Rik; Gauthier, Sylvie; Drobyshev, Igor; Jayen, Karelle; Greene, David F.; Bergeron, Yves",,,Prolonged Absence of Disturbance Associated with Increased Environmental Stress May Lead to Reduced Seedbank Size in Picea mariana in Boreal Eastern North America,ECOSYSTEMS,,,,,,,,,,,,,,,,"Drobyshev, Igor/D-9220-2016; Gauthier, Sylvie/J-3923-2019","Drobyshev, Igor/0000-0002-5980-4316; Gauthier, Sylvie/0000-0001-6720-0195",,,,,,,,,,,,1432-9840,1435-0629,,,,NOV,2015,18,7,,,,,1135,1150,,10.1007/s10021-015-9888-3,,,,,,,WOS:000363027600002,,,,,
J,"du Toit, JCO; O'Connor, TG; Van den Berg, L",,,,"du Toit, Justin Christopher Okes; O'Connor, Timothy G.; Van den Berg, Loraine",,,Photographic evidence of fire-induced shifts from dwarf-shrub- to grass-dominated vegetation in Nama-Karoo,SOUTH AFRICAN JOURNAL OF BOTANY,,,,,,,,,,,,,,,,,"du Toit, Justin CO/0000-0002-3108-5516",,,,,,,,,,,,0254-6299,1727-9321,,,,NOV,2015,101,,,,SI,,148,152,,10.1016/j.sajb.2015.06.002,,,,,,,WOS:000366616400019,,,,,
J,"Nichols, V; Verhulst, N; Cox, R; Govaerts, B",,,,"Nichols, Virginia; Verhulst, Nele; Cox, Rachael; Govaerts, Bram",,,Weed dynamics and conservation agriculture principles: A review,FIELD CROPS RESEARCH,,,,,,,,,,,,,,,,,"Nichols, Virginia/0000-0003-1850-8243",,,,,,,,,,,,0378-4290,1872-6852,,,,NOV,2015,183,,,,,,56,68,,10.1016/j.fcr.2015.07.012,,,,,,,WOS:000362133600007,,,,,
J,"Wagner, SA; Fraterrigo, JM",,,,"Wagner, Stephanie A.; Fraterrigo, Jennifer M.",,,Positive feedbacks between fire and non-native grass invasion in temperate deciduous forests,FOREST ECOLOGY AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378-1127,1872-7042,,,,OCT 15,2015,354,,,,,,170,176,,10.1016/j.foreco.2015.06.024,,,,,,,WOS:000362058800018,,,,,
J,"Shergill, LS; Fleet, B; Preston, C; Gill, G",,,,"Shergill, Lovreet S.; Fleet, Benjamin; Preston, Christopher; Gill, Gurjeet",,,"Incidence of Herbicide Resistance, Seedling Emergence, and Seed Persistence of Smooth Barley (Hordeum glaucum) in South Australia",WEED TECHNOLOGY,,,,,,,,,,,,,,,,,"Preston, Christopher/0000-0002-7588-124X",,,,,,,,,,,,0890-037X,1550-2740,,,,OCT-DEC,2015,29,4,,,,,782,792,,10.1614/WT-D-15-00064.1,,,,,,,WOS:000365866100016,,,,,
J,"Schutte, BJ; Cunningham, A",,,,"Schutte, Brian J.; Cunningham, Ashley",,,Tall Morningglory (Ipomoea purpurea) Seedbank Density Effects on Pendimethalin Control Outcomes,WEED TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0890-037X,1550-2740,,,,OCT-DEC,2015,29,4,,,,,844,853,,10.1614/WT-D-14-00161.1,,,,,,,WOS:000365866100023,,,,,
J,"van der Laat, R; Owen, MDK; Liebman, M; Leon, RG",,,,"van der Laat, Rocio; Owen, Micheal D. K.; Liebman, Matt; Leon, Ramon G.",,,Postdispersal Weed Seed Predation and Invertebrate Activity Density in Three Tillage Regimes,WEED SCIENCE,,,,,,,,,,,,,,,,,"Leon, Ramon/0000-0002-1924-3331",,,,,,,,,,,,0043-1745,1550-2759,,,,OCT-DEC,2015,63,4,,,,,828,838,,10.1614/WS-D-15-00030.1,,,,,,,WOS:000362957200010,,,,,
J,"Birthisel, SK; Gallandt, ER; Jabbour, R; Drummond, FA",,,,"Birthisel, Sonja K.; Gallandt, Eric R.; Jabbour, Randa; Drummond, Francis A.",,,"Habitat and Time Are More Important Predictors of Weed Seed Predation than Space on a Diversified Vegetable Farm in Maine, USA",WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,OCT-DEC,2015,63,4,,,,,916,927,,10.1614/WS-D-15-00057.1,,,,,,,WOS:000362957200019,,,,,
J,"Kulkarni, SS; Dosdall, LM; Spence, JR; Willenborg, CJ",,,,"Kulkarni, Sharavari S.; Dosdall, Lloyd M.; Spence, John R.; Willenborg, Christian J.",,,Depth of Seed Burial and Gender Influence Weed Seed Predation by Three Species of Ground Beetle (Coleoptera: Carabidae),WEED SCIENCE,,,,,,,,,,,,,,,,,"Kulkarni, Sharavari/0000-0002-9929-5608",,,,,,,,,,,,0043-1745,1550-2759,,,,OCT-DEC,2015,63,4,,,,,910,915,,10.1614/WS-D-15-00080.1,,,,,,,WOS:000362957200018,,,,,
J,"Blackshaw, RE; Pearson, DC; Larney, FJ; Regitnig, PJ; Nitschelm, JJ; Lupwayi, NZ",,,,"Blackshaw, Robert E.; Pearson, Drusilla C.; Larney, Francis J.; Regitnig, Peter J.; Nitschelm, Jennifer J.; Lupwayi, Newton Z.",,,Conservation Management and Crop Rotation Effects on Weed Populations in a 12-Year Irrigated Study,WEED TECHNOLOGY,,,,,,,,,,,,,,,,"Lupwayi, Newton/R-7214-2019","Lupwayi, Newton/0000-0002-0410-8962; Larney, Francis/0000-0002-4427-2097",,,,,,,,,,,,0890-037X,1550-2740,,,,OCT-DEC,2015,29,4,,,,,835,843,,10.1614/WT-D-15-00071.1,,,,,,,WOS:000365866100022,,,,,
J,"Stenerud, S; Mangerud, K; Sjursen, H; Torp, T; Brandsaeter, LO",,,,"Stenerud, S.; Mangerud, K.; Sjursen, H.; Torp, T.; Brandsaeter, L. O.",,,Effects of weed harrowing and undersown clover on weed growth and spring cereal yield,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,1365-3180,,,,OCT,2015,55,5,,,,,493,502,,10.1111/wre.12163,,,,,,,WOS:000361221700007,,,,,
J,"Mauro, RP; Lo Monaco, A; Lombardo, S; Restuccia, A; Mauromicale, G",,,,"Mauro, Rosario Paolo; Lo Monaco, Antonino; Lombardo, Sara; Restuccia, Alessia; Mauromicale, Giovanni",,,Eradication of Orobanche/Phelipanche spp. seedbank by soil solarization and organic supplementation,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"LOMBARDO, SARA/0000-0003-1016-0430; RESTUCCIA, Alessia/0000-0003-4256-2231",,,,,,,,,,,,0304-4238,1879-1018,,,,SEP 22,2015,193,,,,,,62,68,,10.1016/j.scienta.2015.06.038,,,,,,,WOS:000362136300009,,,,,
J,"Blaise, D; Wanjari, RH; Singh, RK; Hati, KM",,,,"Blaise, Desouza; Wanjari, Ravi H.; Singh, Rakesh K.; Hati, Kuntal M.",,,The response of weed community in soybean with conventional and conservation tillage systems on rainfed Vertisols,ARCHIVES OF AGRONOMY AND SOIL SCIENCE,,,,,,,,,,,,,,,,"Desouza, Blaise/H-5132-2019","Desouza, Blaise/0000-0001-6344-6294",,,,,,,,,,,,0365-0340,1476-3567,,,,SEP 2,2015,61,9,,,,,1289,1301,,10.1080/03650340.2014.993389,,,,,,,WOS:000354100600002,,,,,
J,"Parro, K; Metslaid, M; Renel, G; Sims, A; Stanturf, JA; Jogiste, K; Koster, K",,,,"Parro, Kristi; Metslaid, Marek; Renel, Getter; Sims, Allan; Stanturf, John A.; Jogiste, Kalev; Koester, Kajar",,,"Impact of postfire management on forest regeneration in a managed hemiboreal forest, Estonia",CANADIAN JOURNAL OF FOREST RESEARCH,,,,,,,,,,,,,,,,"Metslaid, Marek/G-6782-2016; Stanturf, John A./M-4171-2019; Koster, Kajar/C-8397-2012; Sims, Allan/A-5119-2009","Metslaid, Marek/0000-0003-3384-2717; Stanturf, John A./0000-0002-6828-9459; Koster, Kajar/0000-0003-1988-5788; Sims, Allan/0000-0003-1312-6940; Jogiste, Kalev/0000-0002-2484-8802",,,,,,,,,,,,0045-5067,1208-6037,,,,SEP,2015,45,9,,,SI,,1192,1197,,10.1139/cjfr-2014-0514,,,,,,,WOS:000360298700007,,,,,
J,"Feng, L; Chen, GQ; Tian, XS; Yang, HM; Yue, MF; Yang, CH",,,,"Feng, L.; Chen, G-Q; Tian, X-S; Yang, H-M; Yue, M-F; Yang, C-H",,,"The hotter the weather, the greater the infestation of Portulaca oleracea: opportunistic life-history traits in a serious weed",WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,1365-3180,,,,AUG,2015,55,4,,,,,396,405,,10.1111/wre.12151,,,,,,,WOS:000357596800007,,,,,
J,"Crow, WD; Steckel, LE; Hayes, RM; Mueller, TC",,,,"Crow, Whitney D.; Steckel, Lawrence E.; Hayes, Robert M.; Mueller, Thomas C.",,,Evaluation of POST-Harvest Herbicide Applications for Seed Prevention of Glyphosate-Resistant Palmer amaranth (Amaranthus palmeri),WEED TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0890-037X,1550-2740,,,,JUL-SEP,2015,29,3,,,,,405,411,,10.1614/WT-D-14-00146.1,,,,,,,WOS:000359448400008,,,,,
J,"Blath, J; Casanova, AG; Eldon, B; Kurt, N; Wilke-Berenguer, M",,,,"Blath, Jochen; Casanova, Adrian Gonzalez; Eldon, Bjarki; Kurt, Noemi; Wilke-Berenguer, Maite",,,Genetic Variability Under the Seedbank Coalescent,GENETICS,,,,,,,,,,,,,,,,,"Wilke Berenguer, Maite/0000-0002-6057-495X; Gonzalez Casanova, Adrian/0000-0002-1744-6506",,,,,,,,,,,,0016-6731,1943-2631,,,,JUL,2015,200,3,,,,,921,+,,10.1534/genetics.115.176818,,,,,,,WOS:000357883800022,25953769,,,,
J,"Wozniak, A; Soroka, M",,,,"Wozniak, A.; Soroka, M.",,,Structure of weed communities occurring in crop rotation and monoculture of cereals,INTERNATIONAL JOURNAL OF PLANT PRODUCTION,,,,,,,,,,,,,,,,,"Wozniak, Andrzej/0000-0002-9845-7003",,,,,,,,,,,,1735-6814,1735-8043,,,,JUL,2015,9,3,,,,,487,506,,,,,,,,,WOS:000354870500008,,,,,
J,"Pannacci, E; Graziani, F; Tel, F",,,,"Pannacci, Euro; Graziani, Federica; Tel, Francesco",,,Seed Filter Extractor: A new instrument for the evaluation of weed seedbank,SOIL & TILLAGE RESEARCH,,,,,,,,,,,,,,,,"PANNACCI, Euro/J-6972-2019","PANNACCI, Euro/0000-0003-0041-0563; TEI, Francesco/0000-0003-0857-9662",,,,,,,,,,,,0167-1987,1879-3444,,,,JUL,2015,150,,,,,,78,82,,10.1016/j.still.2015.01.004,,,,,,,WOS:000352251100008,,,,,
J,"Panetta, FD",,,,"Panetta, F. D.",,,Weed eradication feasibility: lessons of the 21st century,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,1365-3180,,,,JUN,2015,55,3,,,,,226,238,,10.1111/wre.12136,,,,,,,WOS:000354248900002,,,,,
J,"Ruisi, P; Frangipane, B; Amato, G; Badagliacca, G; Di Miceli, G; Plaia, A; Giambalvo, D",,,,"Ruisi, P.; Frangipane, B.; Amato, G.; Badagliacca, G.; Di Miceli, G.; Plaia, A.; Giambalvo, D.",,,Weed seedbank size and composition in a long-term tillage and crop sequence experiment,WEED RESEARCH,,,,,,,,,,,,,,,,"Amato, Gaetano/E-1105-2011; BADAGLIACCA, Giuseppe/I-4949-2019; Plaia, Antonella/K-2462-2015; Ruisi, Paolo/L-9337-2015","Amato, Gaetano/0000-0003-0660-7594; BADAGLIACCA, Giuseppe/0000-0002-7688-6210; Plaia, Antonella/0000-0001-7811-2430; DI MICELI, Giuseppe/0000-0002-8076-5972; Ruisi, Paolo/0000-0002-5807-6986",,,,,,,,,,,,0043-1737,1365-3180,,,,JUN,2015,55,3,,,,,320,328,,10.1111/wre.12142,,,,,,,WOS:000354248900011,,,,,
J,"Simard, MJ; Nurse, RE; Darbyshire, SJ",,,,"Simard, Marie-Josee; Nurse, Robert E.; Darbyshire, Stephen J.",,,Emergence and seed production of woolly cupgrass (Eriochloa villosa) in legume forage crops,CANADIAN JOURNAL OF PLANT SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0008-4220,1918-1833,,,,MAY,2015,95,3,,,,,539,548,,10.4141/CJPS-2014-317,,,,,,,WOS:000360992700010,,,,,
J,"James, JJ; Gornish, ES; DiTomaso, JM; Davy, J; Doran, MP; Becchetti, T; Lile, D; Brownsey, P; Laca, EA",,,,"James, Jeremy J.; Gornish, Elise S.; DiTomaso, Joseph M.; Davy, Josh; Doran, Morgan P.; Becchetti, Theresa; Lile, David; Brownsey, Philip; Laca, Emilio A.",,,Managing Medusahead (Taeniatherum caput-medusae) on Rangeland: A Meta-Analysis of Control Effects and Assessment of Stakeholder Needs,RANGELAND ECOLOGY & MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550-7424,1551-5028,,,,MAY,2015,68,3,,,,,215,223,,10.1016/j.rama.2015.03.006,,,,,,,WOS:000355787300001,,,,,
J,"Nishimura, A; Asai, M; Shibuya, T; Kurokawa, S; Nakamura, H",,,,"Nishimura, Aiko; Asai, Motoaki; Shibuya, Tomoko; Kurokawa, Shunji; Nakamura, Hiroya",,,A steaming method for killing weed seeds produced in the current year under untilled conditions,CROP PROTECTION,,,,,,,,,,,,,,,,,"Kurokawa, Shunji/0000-0001-5768-1693",,,,,,,,,,,,0261-2194,1873-6904,,,,MAY,2015,71,,,,,,125,131,,10.1016/j.cropro.2015.02.015,,,,,,,WOS:000351810400017,,,,,
J,"Camicia, RFM; Maggi, MF; Souza, EG; Jadoski, SO; Camicia, RGM; Menechini, W",,,,"Camicia, R. F. M.; Maggi, M. F.; Souza, E. G.; Jadoski, S. O.; Camicia, R. G. M.; Menechini, W.",,,SELECTION OF GRIDS FOR WEED MAPPING,PLANTA DANINHA,,,,,,,,,,,,,,,,"Souza, Eduardo G/D-8182-2014",,,,,,,,,,,,,0100-8358,,,,,APR-JUN,2015,33,2,,,,,365,373,,10.1590/0100-83582015000200023,,,,,,,WOS:000358011500023,,,,,
J,"Poffenbarger, HJ; Mirsky, SB; Teasdale, JR; Spargo, JT; Cavigelli, MA; Kramer, M",,,,"Poffenbarger, Hanna J.; Mirsky, Steven B.; Teasdale, John R.; Spargo, John T.; Cavigelli, Michel A.; Kramer, Matthew",,,Nitrogen Competition between Corn and Weeds in Soils under Organic and Conventional Management,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,APR-JUN,2015,63,2,,,,,461,476,,10.1614/WS-D-14-00099.1,,,,,,,WOS:000354973700010,,,,,
J,"Schwartz, LM; Gibson, DJ; Gage, KL; Matthews, JL; Jordan, DL; Owen, MDK; Shaw, DR; Weller, SC; Wilson, RG; Young, BG",,,,"Schwartz, Lauren M.; Gibson, David J.; Gage, Karla L.; Matthews, Joseph L.; Jordan, David L.; Owen, Micheal D. K.; Shaw, David R.; Weller, Stephen C.; Wilson, Robert G.; Young, Bryan G.",,,Seedbank and Field Emergence of Weeds in Glyphosate-Resistant Cropping Systems in the United States,WEED SCIENCE,,,,,,,,,,,,,,,,"Lazaro, Lauren/K-7579-2019","Lazaro, Lauren/0000-0001-8305-4319",,,,,,,,,,,,0043-1745,1550-2759,,,,APR-JUN,2015,63,2,,,,,425,439,,10.1614/WS-D-14-00089.1,,,,,,,WOS:000354973700007,,,,,
J,"Shrestha, A; Mitchell, JP; Hembree, KJ",,,,"Shrestha, Anil; Mitchell, Jeffrey P.; Hembree, Kurt J.",,,Weed Seedbank Characterization in Long-Term Cotton-Tomato Rotations in California,AGRONOMY JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-1962,1435-0645,,,,MAR-APR,2015,107,2,,,,,597,604,,10.2134/agronj14.0443,,,,,,,WOS:000352161100022,,,,,
J,"Perronne, R; Le Corre, V; Bretagnolle, V; Gaba, S",,,,"Perronne, Remi; Le Corre, Valerie; Bretagnolle, Vincent; Gaba, Sabrina",,,Stochastic processes and crop types shape weed community assembly in arable fields,JOURNAL OF VEGETATION SCIENCE,,,,,,,,,,,,,,,,"Gaba, Sabrina/N-8428-2013; Gaba, Sabrina/H-5240-2018","Gaba, Sabrina/0000-0002-7145-6713; Gaba, Sabrina/0000-0002-7145-6713; Le Corre, Valerie/0000-0001-6515-7795",,,,,,,,,,,,1100-9233,1654-1103,,,,MAR,2015,26,2,,,,,348,359,,10.1111/jvs.12238,,,,,,,WOS:000349376200014,,,,,
J,"Ni, CY; Bell, RW; McGrath, W; Jasper, DA; McNeill, P",,,,"Ni, Caiying; Bell, R. W.; McGrath, W.; Jasper, D. A.; McNeill, P.",,,Role of soil covers in establishment of vegetation on gold oxide refining residues,ECOLOGICAL ENGINEERING,,,,,,,,,,,,,,,,,"Bell, Richard/0000-0002-7756-3755",,,,,,,,,,,,0925-8574,1872-6992,,,,FEB,2015,75,,,,,,392,403,,10.1016/j.ecoleng.2014.11.058,,,,,,,WOS:000349598200048,,,,,
J,"Blubaugh, CK; Kaplan, I",,,,"Blubaugh, Carmen K.; Kaplan, Ian",,,Tillage compromises weed seed predator activity across developmental stages,BIOLOGICAL CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049-9644,1090-2112,,,,FEB,2015,81,,,,,,76,82,,10.1016/j.biocontrol.2014.11.007,,,,,,,WOS:000346852200011,,,,,
J,"Deng, WN; Hallett, PD; Jeng, DS; Squire, GR; Toorop, PE; Iannetta, PPM",,,,"Deng, Wenni; Hallett, Paul D.; Jeng, Dong-Sheng; Squire, Geoffrey R.; Toorop, Peter E.; Iannetta, Pietro P. M.",,,"The effect of natural seed coatings of Capsella bursa-pastoris L. Medik. (shepherd's purse) on soil-water retention, stability and hydraulic conductivity",PLANT AND SOIL,,,,,,,,,,,,,,,,"Iannetta, Pietro/F-2451-2011; Iannetta, Pietro Paolo Michele/AAD-2091-2019; Toorop, Peter E/F-4072-2015; Jeng, Dong-Sheng/B-5022-2010; Iannetta, Pietro/L-1231-2016; Hallett, Paul/C-9233-2011","Iannetta, Pietro Paolo Michele/0000-0002-3451-4259; Toorop, Peter E/0000-0002-9328-9733; Jeng, Dong-Sheng/0000-0003-0199-0918; Iannetta, Pietro/0000-0002-3451-4259; Hallett, Paul/0000-0001-7542-7832",,,,,,,,,,,,0032-079X,1573-5036,,,,FEB,2015,387,1-2,,,,,167,176,,10.1007/s11104-014-2281-8,,,,,,,WOS:000348318100012,,,,,
S,"Oktavia, D; Setiadi, Y; Hilwan, I",,"Trihartono, A; Mclellan, B",,"Oktavia, Dina; Setiadi, Yadi; Hilwan, Iwan",,,The comparison of soil properties in heath forest and post-tin mined land: basic for ecosystem restoration,5th Sustainable Future for Human Security (SustaiN 2014),Procedia Environmental Sciences,,,,5th Sustainable Future for Human Security (SustaiN),"OCT 19-21, 2014","Bali, INDONESIA",Sustain Soc,,,,,,,,,,,,,,,,,,,,,1878-0296,,,,,,2015,28,,,,,,124,131,,10.1016/j.proenv.2015.07.018,,,,,,,WOS:000380512600018,,,,,
